User_ID,Date,Payment_Type,Total_Fare,Fines
4815,2023-09-11,Subscription,34.7696298612662,0
2833,2023-07-17,Pay-per-ride,12.183772941949885,0
1457,2023-05-13,Subscription,24.122444230633,0
2809,2023-03-20,Pay-per-ride,25.721878577681327,0
3872,2023-06-30,Subscription,10.275581956202942,0
1116,2023-09-04,Pay-per-ride,17.2705743657815,0
3398,2023-02-24,Pay-per-ride,9.520182655414413,0
3052,2023-10-29,Subscription,25.492081319556064,0
2436,2023-07-12,Subscription,12.384094590944605,0
1005,2023-05-01,Subscription,26.90941837035881,5
3166,2023-04-30,Pay-per-ride,34.11750310529396,0
4075,2023-09-28,Subscription,15.690671697260072,0
4956,2023-04-20,Pay-per-ride,16.52186594594611,0
2357,2023-01-03,Subscription,23.178900257008912,0
3866,2023-01-26,Pay-per-ride,29.921851295559488,0
1483,2023-02-17,Subscription,20.667577134622693,0
3526,2023-02-08,Pay-per-ride,17.528655643968815,0
1572,2023-09-08,Subscription,32.369871258144286,0
3991,2023-10-15,Subscription,15.79929411492124,0
198,2023-06-03,Subscription,48.24929775880133,0
61,2023-10-31,Subscription,19.424536212752912,0
2524,2023-05-07,Subscription,16.91768320014379,0
4989,2023-12-15,Pay-per-ride,13.268991817700453,0
3720,2023-04-22,Subscription,13.248866046457366,0
4008,2023-01-25,Subscription,7.170914392229986,0
1741,2023-12-03,Subscription,34.95889555252396,0
2500,2023-08-26,Pay-per-ride,25.601738991193947,0
3989,2023-04-20,Pay-per-ride,48.67952446759846,20
2493,2023-03-02,Pay-per-ride,37.41283965396949,0
3661,2023-01-11,Subscription,9.922566421341926,0
3277,2023-06-05,Subscription,10.212759297442958,0
4661,2023-12-31,Subscription,19.497094473330414,0
4375,2023-03-19,Subscription,19.520771845476897,5
1904,2023-10-15,Subscription,26.18030603082667,0
3359,2023-02-14,Pay-per-ride,38.0411631615523,10
2130,2023-02-13,Subscription,48.910582936370446,0
142,2023-12-24,Subscription,42.538568029140485,0
2784,2023-01-15,Subscription,29.32491721555649,0
2237,2023-01-18,Subscription,13.412760089296755,5
4286,2023-03-30,Pay-per-ride,22.805820877010493,0
1245,2023-04-26,Pay-per-ride,39.252051187926654,0
4944,2023-09-23,Subscription,17.17443612431765,0
3396,2023-02-07,Pay-per-ride,12.648162160968544,0
1678,2023-06-02,Pay-per-ride,19.405351982131464,0
3729,2023-12-24,Subscription,31.198220158261503,0
1826,2023-08-31,Subscription,46.95888931733924,10
3407,2023-06-14,Subscription,48.601421666915314,0
2506,2023-09-04,Pay-per-ride,43.25548342998916,0
1491,2023-03-04,Pay-per-ride,42.97333239359107,0
1941,2023-06-21,Subscription,46.762178559059286,0
4673,2023-11-13,Subscription,12.506640363394624,0
193,2023-05-13,Subscription,37.7767123562597,0
4616,2023-11-07,Subscription,34.11052329082479,0
3177,2023-02-28,Subscription,37.57392874427264,5
2831,2023-03-22,Subscription,41.4350922483334,0
3912,2023-07-10,Subscription,6.883045248030828,0
1144,2023-09-29,Subscription,24.372421110174173,0
1177,2023-08-12,Subscription,31.594794739090812,5
4076,2023-12-04,Pay-per-ride,35.57820068581223,0
1879,2023-12-26,Subscription,32.1627225047865,5
2179,2023-10-07,Subscription,7.409375508633167,0
2199,2023-08-18,Pay-per-ride,47.389031849298334,0
1897,2023-07-29,Pay-per-ride,34.80200591493553,0
