City,Date,Temperature_C,Rainfall_MM,Wind_Speed_KMH,Humidity_PCT
San Francisco,2023-01-01 00:00:00,-3.742189843812626,11.172449086655638,14.462858453753247,35.02142356161784
New York,2023-01-01 01:00:00,25.54329415548117,5.479080004788641,18.27267876963641,85.57385353575344
San Francisco,2023-01-01 02:00:00,13.663198007029326,3.57601640407732,39.15063545449756,89.07989864120293
San Francisco,2023-01-01 03:00:00,3.3402927665920767,2.603641820905278,38.07236846935303,32.89309380487738
Boston,2023-01-01 04:00:00,16.382483713304268,5.148178098088742,14.450937188923042,60.875858253216535
Boston,2023-01-01 05:00:00,5.719775837309697,7.697704735319055,2.335679318283184,48.167797005338365
Seattle,2023-01-01 06:00:00,29.11918046669519,9.724811042609549,35.31019074873247,86.78575541682574
Chicago,2023-01-01 07:00:00,21.969327905498712,1.2792258567347292,9.0889361492647,37.031542066657735
Boston,2023-01-01 08:00:00,-4.306229583564716,14.62039366184374,4.92929533259912,87.23214784230515
Seattle,2023-01-01 09:00:00,33.80871653637212,10.03592458153448,22.127551768135287,40.41661159550276
New York,2023-01-01 10:00:00,-0.2817704303029211,9.637326934672032,31.464356902326468,69.03394959360492
Chicago,2023-01-01 11:00:00,3.2041026114895885,5.342345860015079,35.95899222813452,35.963415003027244
Boston,2023-01-01 12:00:00,24.28948206152021,8.905600600297841,29.93631451274325,75.01074679099807
Seattle,2023-01-01 13:00:00,33.888815872928305,17.06349461962666,38.26389625148762,37.67764558379981
Chicago,2023-01-01 14:00:00,1.6052837745561277,2.6579065979497707,21.34487847782672,59.44160824112278
Boston,2023-01-01 15:00:00,24.88218194223551,3.240965470621111,35.78885073315845,56.521653051801394
New York,2023-01-01 16:00:00,29.37595130753812,2.0511132312279567,16.33845179078792,72.36716625826506
San Francisco,2023-01-01 17:00:00,2.080017642906013,0.0053352304294373,34.32370387041468,60.77942804658726
San Francisco,2023-01-01 18:00:00,28.457432245821863,13.739267781353494,19.35147538774693,83.2504749126842
Seattle,2023-01-01 19:00:00,20.93169786910432,9.438653482712684,5.99055980427496,64.44108229008442
San Francisco,2023-01-01 20:00:00,16.794237826131415,17.678359359112164,17.905892616108375,72.4458180890914
San Francisco,2023-01-01 21:00:00,21.473382233670755,6.656524038292202,5.251229335041145,50.82795405932958
Seattle,2023-01-01 22:00:00,7.8734339133393725,15.277947935328251,16.983370418747363,81.59846346674105
Seattle,2023-01-01 23:00:00,-0.027207376585161,13.39153088820366,11.21078694961616,71.04284045119489
Chicago,2023-01-02 00:00:00,-4.805296677447317,9.696584983675116,37.85897631191072,62.4235471609367
New York,2023-01-02 01:00:00,24.32531737073458,8.354859457382593,25.08340602438205,43.827559355303926
Boston,2023-01-02 02:00:00,2.007034301234456,10.728225646078602,17.646082161708794,61.34075339358616
Boston,2023-01-02 03:00:00,3.1962469389647463,5.98264773957596,1.9373295729598183,46.65631637198368
Chicago,2023-01-02 04:00:00,16.004478590686027,12.318435953581089,34.50233978262585,46.22631702187241
Seattle,2023-01-02 05:00:00,28.381034094450957,12.42112181606817,28.048329484942485,37.36122517787678
New York,2023-01-02 06:00:00,20.90231276695291,0.9181106079652656,26.359816235774097,57.54473028414149
New York,2023-01-02 07:00:00,14.773197082846892,14.821466633670775,30.34535329860821,54.932206772438334
Seattle,2023-01-02 08:00:00,28.452315527291475,16.702350744830383,20.197347501924824,61.62551978244073
New York,2023-01-02 09:00:00,4.834572716437076,17.906296123947378,35.673596900666794,56.30183188707736
Chicago,2023-01-02 10:00:00,18.90015339659077,16.72090466119107,22.11253623755846,77.76589328619912
New York,2023-01-02 11:00:00,2.452370738701135,12.507043514345671,10.819929858574032,47.74985169615611
Boston,2023-01-02 12:00:00,26.228594424230355,2.100228241790916,22.983523722522172,50.60976084394624
Chicago,2023-01-02 13:00:00,2.9532216141915324,13.170059719925996,5.752194945603559,45.68738762538901
New York,2023-01-02 14:00:00,5.540013492669029,3.6235032071722895,23.44596187569143,41.88658721601172
Chicago,2023-01-02 15:00:00,12.098550147554953,8.964481482460705,17.98623057553591,82.8976192314465
New York,2023-01-02 16:00:00,15.141585105815295,14.09632815883233,36.146206092456985,40.84017691752072
San Francisco,2023-01-02 17:00:00,0.1038935218601899,9.260907503132394,25.802584577486968,46.69004830852408
San Francisco,2023-01-02 18:00:00,17.19640022800082,14.030685544453467,37.36982670541281,82.87623905030756
New York,2023-01-02 19:00:00,29.82953616681696,15.359831787061443,15.137970568446145,36.92940174977888
New York,2023-01-02 20:00:00,6.314848679552876,19.467490958141266,19.99504709208106,44.04174132929152
Chicago,2023-01-02 21:00:00,17.30030435907193,7.01535699326151,25.60608999361073,67.64266226297852
Boston,2023-01-02 22:00:00,-3.874996419368677,19.603387460274348,15.929212029100963,51.45339993950728
San Francisco,2023-01-02 23:00:00,32.502665560557574,3.392111627137236,36.60871180164403,84.63283057701764
Chicago,2023-01-03 00:00:00,28.497937536467816,10.75630621464368,11.904978307575297,66.7767563728521
Chicago,2023-01-03 01:00:00,34.88201314975108,2.600968285161378,29.36334216434,87.57939223917914
San Francisco,2023-01-03 02:00:00,12.89167052086752,19.5890124052008,10.165654702417513,73.0267239135149
New York,2023-01-03 03:00:00,13.91481312503828,14.960212976006089,11.34807085282002,82.49388890953867
San Francisco,2023-01-03 04:00:00,17.336366959279836,1.2912918252081362,2.6201733125621374,51.93801323837197
Seattle,2023-01-03 05:00:00,27.089556130036904,4.967969269244401,23.91042145999503,77.61669995018798
